removed_fraction,removed_nodes,gcc_fraction,gcc_size,num_components,avg_shortest_path_gcc,algebraic_connectivity_gcc,spectral_gap_ratio_gcc,kirchhoff_index_gcc
0.475,95,0.505,101,5,3.9934653465346535,0.15345170954740378,63.70406342850318,6812.2137534544445
0.48,96,0.5,100,5,3.9844444444444442,0.15351365415757243,63.6276932049004,6605.40845190962
0.485,97,0.495,99,5,4.000206143063286,0.14837978187219475,65.81638851280141,6581.337460628991
0.49,98,0.49,98,5,4.009678098043341,0.14851714698974847,65.55156470237172,6562.860291449685
0.495,99,0.485,97,5,4.015678694158075,0.14805601338153634,65.7227836576922,6516.791088795389
0.5,100,0.48,96,5,4.0171052631578945,0.1480909550453996,65.70222620810074,6481.708947450035
0.505,101,0.475,95,5,4.015901455767077,0.14810707356739694,65.68012960115382,6425.185079211294
0.51,102,0.47,94,5,4.0315717227179135,0.147507820313171,65.92117347371405,6407.409579413567
0.515,103,0.465,93,5,4.0575035063113605,0.1475363426597588,65.66936782594847,6506.7666410469255
0.52,104,0.46,92,5,4.092689918776875,0.14749651504338068,65.51643847645154,6594.80672242767
0.525,105,0.455,91,5,4.142857142857143,0.14730526757488463,65.35328787409908,6581.751293360452
0.53,106,0.45,90,5,4.177278401997503,0.14700951697034256,64.89252891664428,6569.909407223758
0.535,107,0.445,89,5,4.175178753830439,0.147225046798366,64.79300617448612,6525.5265504649
0.54,108,0.44,88,5,4.175287356321839,0.14734046780554347,64.575355529742,6470.429210966068
0.545,109,0.43,86,6,4.14391244870041,0.14755336622294807,64.44138085685685,6012.335419675464
0.55,110,0.42,84,7,4.129374641422834,0.14743891925892366,64.47525782962785,5714.284789126025
0.555,111,0.42,84,6,4.129374641422834,0.14743891925892405,64.47525782962785,5714.284789126025
0.56,112,0.415,83,6,4.234205113135468,0.11647905000781444,81.15181178614858,5993.060598776574
0.565,113,0.41,82,6,4.2550436615477265,0.11648709011727461,80.85355765039837,5955.5645327317325
0.57,114,0.405,81,6,4.228703703703704,0.11663711084717843,80.74952284163841,5743.428982342298
0.575,115,0.395,79,7,4.095748133722817,0.1970604619189234,47.794421256282874,5067.0773976711425
0.58,116,0.39,78,7,4.1558441558441555,0.12013679357793472,78.37575749370012,5338.911392573927
0.585,117,0.385,77,7,4.120300751879699,0.12051415301467618,78.13029548857254,5117.232058325695
0.59,118,0.38,76,7,4.12,0.1207037690677257,78.00739156017669,5074.328367471895
0.595,119,0.375,75,7,4.1163963963963965,0.12078842562203848,77.93943198589045,5006.208574234739
0.6,120,0.37,74,7,4.127730470196224,0.10107310663623828,92.93141832666315,5037.096756374125
0.605,121,0.365,73,7,4.119482496194825,0.10084152429979398,93.13862654262385,4984.133366794176
0.61,122,0.36,72,7,4.244131455399061,0.10061170504936001,93.3453451927795,5075.676063711559
0.615,123,0.355,71,7,4.444265593561369,0.09799177640138193,95.081068649233,5379.504316648299
0.62,124,0.35,70,7,4.477846790890269,0.09635523390066039,96.69169097282536,5449.163694999226
0.625,125,0.345,69,7,4.432651321398125,0.11619695633759608,80.17600205272326,5162.833472212858
